Badger,Group,Network Community,NodeID
008p,5,6,0
009p,8,3,1
010p,3,3,2
010y,1,2,3
011y,8,3,4
012b,6,5,5
013p,3,3,6
014p,8,3,7
015p,8,3,8
016p,1,2,9
018p,6,5,10
020p,6,5,11
020y,8,3,12
024y,6,5,13
031y,2,6,14
032y,2,6,15
033p,7,1,16
034p,7,1,17
035p,1,2,18
035r,6,6,19
037w,6,5,20
038p,1,2,21
038r,3,3,22
040r,8,3,23
043p,1,2,24
043w,4,4,25
044p,1,2,26
045p,3,3,27
046p,5,6,28
047p,5,6,29
048p,6,5,30
049p,6,5,31
049w,2,6,32
049y,7,1,33
050g,4,4,34
050y,7,1,35
051p,3,3,36
052w,8,3,37
054w,6,5,38
055b,6,5,39
056b,6,5,40
058y,1,2,41
061y,1,2,42
062p,4,4,43
063p,4,4,44
064p,1,2,45
067p,8,3,46
067y,7,1,47
070y,6,5,48
082w,4,4,49
103w,2,6,50
